Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.9,0.9023569023569024,0.9,0.8997493734335839
AdaBoost,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
Gradient Boosting,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
Voting,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
Stacking,0.9666666666666667,0.9696969696969696,0.9666666666666667,0.9665831244778613
